id,name,code,account_type,reconcile,tag_ids/id
Cuenta401_10_01,Ventas y/o servicios gravados a la tasa general nacionales partes relacionadas,401.10.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta401_11_01,Ventas y/o servicios gravados a la tasa general extranjeros partes relacionadas,401.11.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta401_12_01,Ventas y/o servicios gravados al 0% nacionales partes relacionadas,401.12.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta401_13_01,Ventas y/o servicios gravados al 0% extranjeros partes relacionadas,401.13.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta401_14_01,Ventas y/o servicios exentos nacionales partes relacionadas,401.14.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta401_15_01,Ventas y/o servicios exentos extranjeros partes relacionadas,401.15.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta401_16_01,Ingresos por servicios administrativos,401.16.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta401_17_01,Ingresos por servicios administrativos nacionales partes relacionadas,401.17.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta401_18_01,Ingresos por servicios administrativos extranjeros partes relacionadas,401.18.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta401_19_01,Ingresos por servicios profesionales,401.19.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta401_20_01,Ingresos por servicios profesionales nacionales partes relacionadas,401.2.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta401_21_01,Ingresos por servicios profesionales extranjeros partes relacionadas,401.21.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta401_22_01,Ingresos por arrendamiento,401.22.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta401_23_01,Ingresos por arrendamiento nacionales partes relacionadas,401.23.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta401_24_01,Ingresos por arrendamiento extranjeros partes relacionadas,401.24.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta401_25_01,Ingresos por exportación,401.25.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta401_26_01,Ingresos por comisiones,401.26.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta401_27_01,Ingresos por maquila,401.27.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta401_28_01,Ingresos por coordinados,401.28.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta401_29_01,Ingresos por regalías,401.29.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta401_30_01,Ingresos por asistencia técnica,401.30.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta401_31_01,Ingresos por donativos,401.31.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta401_32_01,Ingresos por intereses (actividad propia),401.32.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta401_33_01,Ingresos de copropiedad,401.33.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta401_34_01,Ingresos por fideicomisos,401.34.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta401_35_01,Ingresos por factoraje financiero,401.35.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta401_36_01,Ingresos por arrendamiento financiero,401.36.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta401_37_01,Ingresos de extranjeros con establecimiento en el país,401.37.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta401_38_01,Otros ingresos propios,401.38.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta401_39_01,Ventas y/o servicios gravados realizados en zona fronteriza norte,401.39.01,income,FALSE,l10n_mx.tag_credit_balance_account
Cuenta401_40_01,Ventas y/o servicios gravados realizados en zona fronteriza norte de contado,401.40.01,income,FALSE,l10n_mx.tag_credit_balance_account
